,ds,y
0,2014-01-01,61671967.0
1,2014-02-01,62274659.0
2,2014-03-01,64430235.0
3,2014-04-01,64430235.0
4,2014-05-01,66423553.0
5,2014-06-01,67034080.0
6,2014-07-01,67147446.0
7,2014-08-01,67927806.0
8,2014-09-01,68408525.0
9,2014-10-01,68944587.0
10,2014-11-01,69212472.0
11,2014-12-01,69919366.0
12,2015-01-01,70379483.0
13,2015-02-01,70946607.0
14,2015-03-01,71409679.0
15,2015-04-01,71594742.0
16,2015-05-01,71990204.0
17,2015-06-01,72454815.0
18,2015-07-01,72672694.0
19,2015-08-01,72824063.0
20,2015-09-01,70897287.0
21,2015-10-01,71835349.0
22,2015-11-01,72481885.0
23,2015-12-01,72701268.0
24,2016-01-01,72894837.0
25,2016-02-01,73051223.0
26,2016-03-01,72863897.0
27,2016-04-01,73180440.0
28,2016-05-01,73380499.0
29,2016-06-01,73467427.0
30,2016-07-01,73628614.0
31,2016-08-01,74843252.0
32,2016-09-01,74775144.0
33,2016-10-01,74749018.0
34,2016-11-01,74755531.0
35,2016-12-01,74995234.0
36,2017-01-01,75033246.0
37,2017-02-01,75011673.0
38,2017-03-01,75101541.0
39,2017-04-01,75027667.0
40,2017-05-01,74990050.0
41,2017-06-01,73342389.0
42,2017-07-01,73305030.0
43,2017-08-01,73294922.0
44,2017-09-01,73128693.0
45,2017-10-01,73204357.0
46,2017-11-01,73193768.0
47,2017-12-01,73302816.0
48,2018-01-01,73162843.0
49,2018-02-01,73150048.0
50,2018-03-01,73101694.0
51,2018-04-01,72892424.0
52,2018-05-01,72717001.0
53,2018-06-01,72482268.0
54,2018-07-01,72422498.0
55,2018-08-01,72288048.0
56,2018-09-01,72059845.0
57,2018-10-01,72043756.0
58,2018-11-01,71809497.0
59,2018-12-01,71716108.0
60,2019-01-01,71825120.0
61,2019-02-01,71783241.0
62,2019-03-01,71752631.0
63,2019-04-01,71604157.0
64,2019-05-01,71504423.0
65,2019-06-01,71405014.0
66,2019-07-01,71470366.0
67,2019-08-01,71476820.0
68,2019-09-01,71488576.0
69,2019-10-01,71412933.0
70,2019-11-01,71153604.0
71,2019-12-01,71079550.0
72,2020-01-01,71236779.0
73,2020-02-01,71157729.0
74,2020-03-01,71506870.0
75,2020-04-01,72690925.0
76,2020-05-01,73876794.0
77,2020-06-01,74862713.0
78,2020-07-01,75818906.0
79,2020-08-01,76755495.0
80,2020-09-01,77569435.0
81,2020-10-01,78322359.0
82,2020-11-01,79121167.0
83,2020-12-01,79993248.0
84,2021-01-01,80675779.0
85,2021-02-01,81172151.0
86,2021-03-01,81828568.0
87,2021-04-01,82351558.0
88,2021-05-01,82791334.0
89,2021-06-01,83314597.0
90,2021-07-01,83846649.0
91,2021-08-01,84541080.0
92,2021-09-01,85065373.0
93,2021-10-01,85562350.0
94,2021-11-01,86090344.0
95,2021-12-01,86615177.0
96,2022-01-01,87168044.0
97,2022-02-01,87602634.0
98,2022-03-01,88064423.0
99,2022-04-01,88490963.0
100,2022-05-01,89059892.0
101,2022-06-01,89532601.0
102,2022-07-01,90043133.0
103,2022-08-01,90606454.0
104,2022-09-01,91162800.0
105,2022-10-01,91614614.0
106,2022-11-01,92095810.0
107,2022-12-01,92340585.0
108,2023-01-01,93244638.0
109,2023-02-01,93373794.0
