state_name,report_date,Medicaid_Enrollment
United States,01/01/2014,61671967
Alabama,01/01/2014,774136
Alaska,01/01/2014,117483
Arizona,01/01/2014,1207102
Arkansas,01/01/2014,751576
California,01/01/2014,9816000
Colorado,01/01/2014,946477
Connecticut,01/01/2014,N/A
Delaware,01/01/2014,227971
District of Columbia,01/01/2014,235041
Florida,01/01/2014,3121517
Georgia,01/01/2014,1742401
Hawaii,01/01/2014,307112
Idaho,01/01/2014,267079
Illinois,01/01/2014,2751808
Indiana,01/01/2014,1140416
Iowa,01/01/2014,547950
Kansas,01/01/2014,410878
Kentucky,01/01/2014,943673
Louisiana,01/01/2014,1004479
Maine,01/01/2014,N/A
Maryland,01/01/2014,1023129
Massachusetts,01/01/2014,1453932
Michigan,01/01/2014,1849657
Minnesota,01/01/2014,973782
Mississippi,01/01/2014,714243
Missouri,01/01/2014,1041775
Montana,01/01/2014,144772
Nebraska,01/01/2014,237047
Nevada,01/01/2014,381137
New Hampshire,01/01/2014,130444
New Jersey,01/01/2014,1322484
New Mexico,01/01/2014,594609
New York,01/01/2014,5775826
North Carolina,01/01/2014,1786916
North Dakota,01/01/2014,N/A
Ohio,01/01/2014,2339557
Oklahoma,01/01/2014,803729
Oregon,01/01/2014,842639
Pennsylvania,01/01/2014,2395464
Rhode Island,01/01/2014,217110
South Carolina,01/01/2014,1011919
South Dakota,01/01/2014,114779
Tennessee,01/01/2014,1269860
Texas,01/01/2014,4422076
Utah,01/01/2014,300277
Vermont,01/01/2014,166206
Virginia,01/01/2014,1029389
Washington,01/01/2014,1325334
West Virginia,01/01/2014,456781
Wisconsin,01/01/2014,1163603
Wyoming,01/01/2014,70392
United States,02/01/2014,62274659
Alabama,02/01/2014,769295
Alaska,02/01/2014,116720
Arizona,02/01/2014,1234401
Arkansas,02/01/2014,763356
California,02/01/2014,9999000
Colorado,02/01/2014,962210
Connecticut,02/01/2014,N/A
Delaware,02/01/2014,229535
District of Columbia,02/01/2014,238000
Florida,02/01/2014,3233195
Georgia,02/01/2014,1773327
Hawaii,02/01/2014,313669
Idaho,02/01/2014,270594
Illinois,02/01/2014,2735224
Indiana,02/01/2014,1120847
Iowa,02/01/2014,557501
Kansas,02/01/2014,415284
Kentucky,02/01/2014,966365
Louisiana,02/01/2014,1008176
Maine,02/01/2014,N/A
Maryland,02/01/2014,1053589
Massachusetts,02/01/2014,1453213
Michigan,02/01/2014,1879568
Minnesota,02/01/2014,976350
Mississippi,02/01/2014,720292
Missouri,02/01/2014,811078
Montana,02/01/2014,149245
Nebraska,02/01/2014,238121
Nevada,02/01/2014,404825
New Hampshire,02/01/2014,133110
New Jersey,02/01/2014,1361513
New Mexico,02/01/2014,602014
New York,02/01/2014,5823995
North Carolina,02/01/2014,1786369
North Dakota,02/01/2014,N/A
Ohio,02/01/2014,2361103
Oklahoma,02/01/2014,814881
Oregon,02/01/2014,900933
Pennsylvania,02/01/2014,2398718
Rhode Island,02/01/2014,227095
South Carolina,02/01/2014,1017333
South Dakota,02/01/2014,115013
Tennessee,02/01/2014,1279336
Texas,02/01/2014,4425316
Utah,02/01/2014,330306
Vermont,02/01/2014,168233
Virginia,02/01/2014,1058839
Washington,02/01/2014,1369179
West Virginia,02/01/2014,473401
Wisconsin,02/01/2014,1162614
Wyoming,02/01/2014,72378
United States,03/01/2014,64430235
Alabama,03/01/2014,765286
Alaska,03/01/2014,123212
Arizona,03/01/2014,1345403
Arkansas,03/01/2014,763966
California,03/01/2014,10600000
Colorado,03/01/2014,1058167
Connecticut,03/01/2014,N/A
Delaware,03/01/2014,234105
District of Columbia,03/01/2014,245021
Florida,03/01/2014,3315147
Georgia,03/01/2014,1605459
Hawaii,03/01/2014,314368
Idaho,03/01/2014,273515
Illinois,03/01/2014,3218065
Indiana,03/01/2014,1154736
Iowa,03/01/2014,583819
Kansas,03/01/2014,426360
Kentucky,03/01/2014,841299
